Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative
"Anbarndarr I. Australia/Anbarndarr II,  Australia/Gunbirdi I, Gunbirdi II, Gunbirdi III, Northern Territory Australia",-12.255207,133.645845,1704,111,Australia,Direct,Exact age,Yes,Beeswax,No
"ARN-0063, Namarrgon Lightning Man, Northern Territory, Australia",-12.865524,132.814001,1021,145,Australia,Direct,Exact age,Yes,Beeswax,Yes
"Bald Rock, Wellington Range,Northern Territory Australia",-11.8,133.15,386,174,Australia,Direct,Exact age,Yes,Beeswax,N/A
"Baroalba Springs, Kakadu, Northern Territory, Australia",-12.677013,132.480901,7876,7876,Australia,Indirect,Minimum age,Yes,Painting,-
"Bindu, Kakadu, Northern Territory, Australia",-12.677013,132.480901,183,117,Australia,Direct,Exact age,Yes,Beeswax dots and lines,No
"Bush Turkey Dreaming Site, Western Australia",-23.96,122.97,60,60,Australia,Direct,Exact age,Yes,Painting,"Yes
"
"Cape York, Australia",-10.7,142.516667,730,725,Australia,Direct,Exact age,Unknown,Painting,N/A
"Deighton Lady, Jowalbinna, Queensland Australia",-15.5333,144.7833,6483,2905,Australia,Indirect,Minimum age,Yes,Engraving,No
"Djarrng, West Arnhem Land, Northern Territory, Australia",-12.091834,132.890495,720,119,Australia,Direct,Exact age,Yes,Beeswax,Yes
"Djulirri, Arnhem Land, Northerm Territory, Australia",-12.091834,132.890495,383,172,Australia,Direct,Exact age,Yes,Beeswax,"Yes
"
"East Alligator River, Northern Territory, Australia",-12.525429,133.060161,4287,122,Australia,Direct,Exact age,Yes,Beeswax,No
"Echidna's Rest, Queensland, Australia",-27.542345,153.07315,1291,0,Australia,Direct,Exact age,Yes,Drawings and engraving,No
"Emu Cave, New South Wales, Australia",-33.782342,150.590426,1857,1857,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Giant Horse, Laura, Queensland, Australia",-15.5384,144.4566,474,474,Australia,Direct,Exact age,Yes,Painting,-
"Gunbilngmurrung, Australia",-12.8,133.3,3870,140,Australia,Direct,Exact Age,Yes,Beeswax,Yes 
"Hay Cave, Queensland, Australia",-23.167328,150.490387°,2420,1010,Australia,Direct,Exact age,No,Painting,No
"Ingaladdi, willeroo, Northern Territory, Australia",-15.29028,131.575195,7676,7676,Australia,Indirect,Minimum age,Yes,Engraving,N/A
"Kaalpi site, Western Australia (Near Calvert Ranges)",-23.95,122.72,377,308,Australia,Direct,Exact age,Yes,Painting,N/A
"Kennedy River, Queensland, Australia",-15.5906,144.0308,1132,1132,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Kimberley, Australia",-17.34918,125.915207,4300,1350,Australia,Direct,Exact age,Yes,Painting,Yes
"M23, Calvert Ranges, Western Australia",-23.966667,122.966667,2085,759,Australia,Direct,Exact age,Yes,Painting,N/A
"Malangine Cave, Nene Valley, South Australia",-38.05,140.69,6348,5046,Australia,Indirect,Minimum age,Yes,Figure Fluting & Engraving,No
"Marjar - East Alligator, Northern territory, Australia",-13.092293,132.393766,191,191,Australia,Direct,Exact age,Yes,Beeswax,N/A
"Mennge-ya 1, Northern Territory (near Willeroo)",-15.29028,131.575195,4010,4010,Australia,Indirect,Minimum age,No,Engraving,No
"Mickey Springs 31, Hughenden, Queensland, Australia",-20.85,144.2,5929,5929,Australia,Unknown,Unknown,Yes,Engraving,No
"Moonface site, Queensland, Australia",-21.5097,140.6679,796,796,Australia,Direct,Exact age,Yes,Painting,Yes
"Moses Cave, Arnhem Land, Northern Territory, Australia",-12.430204,130.882379,274,274,Australia,Direct,Exact age,Yes,Beeswax,No
"Mount Manning, Western Australia",-30.12203,119.742604,586,182,Australia,Indirect,N/A,Yes,Drawing,No
"Mungana Site, Queensland, Australia",-17.118416,144.398988,3644,1177,Australia,Direct,Exact age,Yes,Drawing,No
"Nangalor (Nanguluwur), Kakadu National Park, Northern Territory, Australia",-13.092293,132.393766,5570,776,Australia,Indirect,Minimum Age,Yes,Painting,No
"Nara Inlet, Queensland",-20.15°,148.9,2489,2489,Australia,Unknown,Unknown,Yes,Unknown,N/A
"Nawarla Gabarnmang, Jawoyn Country, Arnhem Land Australia",-12.1685,133.8335,27630,27630,Australia,Direct,Exact age,Yes,Painting,N/A
"Ngarradj Warde Djobkeng, Northern Territory",-12.3,132.57,10083,9171,Australia,Indirect,Minimum age,Yes,Painting,N/A
"Painted Shelter, Queensland, Australia",-16.1295,144.1289,2420,2420,Australia,Direct,Exact Age,No,Painting,Yes
"Panaramitee, Flinders Ranges, South Australia",-31.416667,138.75,43140,3575,Australia,Indirect,Minimum age,No,Engraving,No
"Pete's Chase, Queensland",-16.1295,144.1289,2090,310,Australia,Direct,Exact age,No,Painting,Yes 
"Pilbara, Western Australia, Australia",-21.883333,116.766667,3700,2600,Australia,Indirect,Minimum age,Unknown,Petroglyphs,Yes 
"Possum Cave, Queensland, Australia",-10.7°,142.516667,9501,2217,Australia,Indirect,Minimum age,Yes,Engraving,No
"Prung-Cart Cave, South Australia (near Millicent)",-37.090413,140.829791,2783,1076,Australia,Indirect,Minimum age,Yes,Figure fluting,Unknown
"Puritijarra, Cleland Hills, Northern Territory, Australia",-23.883333,130.866667,2747,548,Australia,Indirect,Minimum age,Yes,Engraving,No
"Quinkans B6 Rockshelter, Queensland, Australia",-15.6286,144.5308,2999,845,Australia,Indirect,Minimum Age,Yes,Engraving & Painting,No
"Racecourse Site, Queensland, Australia",-17.1747,144.4994,2031,2031,Australia,Direct,Exact Age,Yes,Drawing,No
"Red Lady, Queensland, Australia",-15.762116,144.257562,8213,8213,Australia,Indirect,Minimum Age,Yes,Painting,Yes
"Sandy Creek 1 & 2, Queensland, Australia",-15.7193,144.3027,29440,2964,Australia,Indirect,Minimum Age,Yes,Painting,Yes
"Serpent's Glen 1, Wiluna, Western Australia",-25.216667,120.75,3417,377,Australia,Direct,Exact Age,Yes,Painting,No
"Snake Site, Cannon Hill, Northern Territory, Australia",-12.3,132.57,563,563,Australia,Indirect,Minimum age,Yes,Painting,N/A
"Spirit Cave, Anbangbang, Kakadu, Northern Territory, Australia",-12.865524,132.814001,14182,3747,Australia,Indirect,Minimum Age,Yes,Painting,No
"Split rock, Queensland, Australia",-15.6525,144.4975,7433,7433,Australia,Direct,Exact Age,Yes,Painting,N/A
"Sturt Meadows, New South Wales, Australia",-31.11,140.4,12237,11978,Australia,Indirect,Minimum Age,Yes,Engraving,N/A
"Unnamed sites 1-3, Kimberley, Western Australia",-17.34918,125.915207,23800,0,Australia,Indirect,Minimum Age,No,Painting,Yes
"Walkunder Arch Cave, Queensland, Australia",-17.2297,144.5169,34254,3575,Australia,Indirect,"Maximum age for date to use; different samples have minimum age, maximum age, middle date, and supporting date",Yes,Paintings & Engraving,N/A
"Wanga East, Northern Territory, Australia",-24.19,131.4,8093,1332,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Waterfall Cave, New South Wales, Australia",-35.42,150.11,604,-1,Australia,Direct,Exact Age,Yes,Painting,No
"Wharton Hill, Australia",-32.64,139.77,36400,36400,Australia,Indirect,Minimum age,No,Petroglyph,Yes
"Wurik (Mann River E1002, 1004, 1005)., Northern Territory, Australia/Yikarrakkal (Mann River A1005), Northern Territory, Australia",-12.219481,134.143519,646,183,Australia,Direct,Exact Age,Beeswax,Beeswax,Yes
"Yam Camp, Cape York, Queensland, Australia",-15.7823,144.2341,682,602,Australia,Direct,"Exact Age, but latest date is minimum age",Yes,Painting,Yes
"Yiwarlarlay, Northern Territory, Australia",-12.36686,130.88125,4592,3386,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Yunta Springs, South Australia",-32.54,139.55,17020,1398,Australia,Indirect,Minimum age,Yes,Engraving,Mixed 
