Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative
"Abri Castanet, Dordogne, France",44.999272,1.101261,37205,36385,France,Indirect,Minimum Age,No,Petroglyphs,Yes
"Altamira, Spain
",43.377452,-4.122347,36160,2850,Spain,Direct,Exact Age,Unknown,"Petroglyphs
Decorated ceiling in cave","Yes, not all. One is linear red line.

"
"Altxerri B, Spain",43.2369,-2.148555,39479,34689,Spain,Indirect,Minimum age,Yes,Painting,Yes
"Anta de Serramo, Vimianzo, A Coruña, Galicia, Spain ",43.110048,-9.03242,6950,6950,Spain,Direct,Exact age,Yes,Painting,N/A
"Casota do Paramo, A Coruna, Spain",42.704644,-8.930863,5400,5400,Spain,Direct,Maximum Age,Yes,Painting,No
"Cave of Cougnac, France",44.756986,1.375957,24000,24000,France,Direct,Exact Age,Unknown,Painting,Yes (2 deers)
"Cave of El Castillo, Spain",43.292368,-3.965576,41400,22880,Spain,Direct,Minimum Age,Yes,"Pike: Painting
","Pike: Some, most are disk-shapes
Valladas 2001: Yes
Valladas 1992: Yes"
"Cave of Niaux, France",42.820098,1.593487,12890,12890,France,Direct,Exact age,Unknown. Likely no.,Painting,Yes
"Chauvet-Pont-d'Arc Cave, France",44.387244,4.415865,32410,30340,France,Direct,Exact age,Unknown.,Painting,Yes
"Cosquer cave, Calanque de Morgiou, France",43.210931,5.445896,28370,17800,France,Direct,Exact Age,No,Painting,Yes
"Coto dos Muros, Baixo Mino, Northwest Iberia",41.999517,-8.770147,6340,4020,Spain,Direct,Maximum Age,Yes,Painting,N/A
"Covaciella, Spain",43.318232,-4.875262,17113,16881,Spain,Yes,Exact age,Yes,Painting,Yes
"Fuente de el Salin, Muñorrodero Spain",43.364429,-4.482981,22340,22340,Spain,Indirect,Minimum age,Unknown,Painting,N/A
"Gargas, France",43.90322,5.357388,26860,26860,France,Indirect,Minimum age,Unknown,"Hand stencils, engravings",Yes
"Grande Grotte, Arcy-sur-Cure, France",47.591452,3.766392,45503,29172,France,Indirect,N/A,Yes,Painting,N/A
"Grotte d’Aldene, Cesseras, France",43.353897,2.698387,30260,30260,France,Indirect,N/A,Unknown,Engravings,N/A
"Grotte de Cussac, Dordogne River Valley, France",44.829444,0.847778,29209,3426,France,Indirect,Mixed,Unknown,Painting,Yes
"La Garma, Cantabria, Spain",43.151944,-3.896389,16875,16875,Spain,Direct,Exact age,Yes,Paintings,Yes
"La Pileta, Spain",36.691297,-5.2699,24228,24228,Spain,Direct,Exact age,Yes,Paintings,Yes
"La Tete du lion, France",45.777403,4.855214,26760,25996,France,Indirect,Minimum age,Yes,Paintings,N/A
"Labastide, France",43.035546,0.352267,17476,484,France,Direct,Exact age,Yes,Paintings,Yes
"Lascaux Cave, France",45.053919,1.167651,22723,18848,France,Indirect,Minimum age,Yes,Paintings,Yes
"Nerja, Spain",36.785916,-3.804483,23821,23821,Spain,Indirect,Minimum age,Yes,Drawings and torch rubbings,N/A
"Ojo Guareña, Burgos, Spain",43.034337,-3.66452,11540,10950,Spain,Direct,Exact age,Unknown,Paintings,Yes
"Pech Merle, France",44.507308,1.64408,24700,24700,France,Direct,Exact age,Unknown (Likely no),Painting,Yes 
Pedra Cuberta,43.089554,-8.984605,5775,5620,Spain,Direct,Exact,Yes,Painting,Yes
"Pedra da Moura, Vimianzo, A Coruña, Spain",43.081351,-8.977859,5745,5745,Spain,Direct,Exact age,Yes,Painting,N/A
"Pondra, Cantabria, Spain",43.266475,-3.423179,22000,22000,Spain,Indirect,Minimum age,Unknown,Painting,Yes
"Tito Bustillo Cave, Spain",43.460706,-5.067392,36200,29650,Spain,Indirect,Mixed,Yes,Paintings,Yes
"Urdiales, Spain",43.368822,-3.215635,15223,15223,Spain,Direct,Exact age,Yes,Painting,Yes
"Villars, France",45.442277,0.785135,21735,17473,France,Direct,Exact age,Yes,Drawings and torch rubbings,No
