Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative
"Abri Castanet, Dordogne, France",44.999272,1.101261,37205,36385,France,Indirect,Minimum Age,No,Petroglyphs,Yes
"Altamira, Spain
",43.377452,-4.122347,36160,2850,Spain,Direct,Exact Age,Unknown,"Petroglyphs
Decorated ceiling in cave","Yes, not all. One is linear red line.

"
"Altxerri B, Spain",43.2369,-2.148555,39479,34689,Spain,Indirect,Minimum age,Yes,Painting,Yes
"Anbarndarr I. Australia/Anbarndarr II,  Australia/Gunbirdi I, Gunbirdi II, Gunbirdi III, Northern Territory Australia",-12.255207,133.645845,1704,111,Australia,Direct,Exact age,Yes,Beeswax,No
"Anta de Serramo, Vimianzo, A Coruña, Galicia, Spain ",43.110048,-9.03242,6950,6950,Spain,Direct,Exact age,Yes,Painting,N/A
"Apollo 11 Cave, !Karas Region, Southwest Namibia",-26.842964,17.290284,28400,26300,Namibia,Indirect,Minimum age,Unknown,Painted fragments,Yes
"ARN-0063, Namarrgon Lightning Man, Northern Territory, Australia",-12.865524,132.814001,1021,145,Australia,Direct,Exact age,Yes,Beeswax,Yes
"Bald Rock, Wellington Range,Northern Territory Australia",-11.8,133.15,386,174,Australia,Direct,Exact age,Yes,Beeswax,N/A
"Baroalba Springs, Kakadu, Northern Territory, Australia",-12.677013,132.480901,7876,7876,Australia,Indirect,Minimum age,Yes,Painting,-
"Bhimbetka, India",22.939546,77.612433,5190,1100,India,Direct,Exact Age,Unknown,Painting,Yes
"Biggarsberg, South Africa",-26.286668,28.047223,4050,970,South Africa,Direct,Exact age,Unknown,Painting,N/A
"Bighorn Basin, Wyoming and Montana, USA",44.379957,-108.038989,6862,0,USA,Direct,Exact age,Yes,Petroglyphs,N/A
"Bindu, Kakadu, Northern Territory, Australia",-12.677013,132.480901,183,117,Australia,Direct,Exact age,Yes,Beeswax dots and lines,No
"Bush Turkey Dreaming Site, Western Australia",-23.96,122.97,60,60,Australia,Direct,Exact age,Yes,Painting,"Yes
"
"Cape York, Australia",-10.7,142.516667,730,725,Australia,Direct,Exact age,Unknown,Painting,N/A
"Casota do Paramo, A Coruna, Spain",42.704644,-8.930863,5400,5400,Spain,Direct,Maximum Age,Yes,Painting,No
"Cave of Beasts, Gilf Kebir, Egypt",23.441389,25.839722,8450,6350,Egypt,Indirect,N/A,Unknown,Painting,Yes
"Cave of Bees, Matopos, Zimbabwe",-20.557222,28.5125,10500,10500,South Africa,Direct,Exact age,Unknown,Painting,N/A
"Cave of Cougnac, France",44.756986,1.375957,24000,24000,France,Direct,Exact Age,Unknown,Painting,Yes (2 deers)
"Cave of El Castillo, Spain",43.292368,-3.965576,41400,22880,Spain,Direct,Minimum Age,Yes,"Pike: Painting
","Pike: Some, most are disk-shapes
Valladas 2001: Yes
Valladas 1992: Yes"
"Cave of Niaux, France",42.820098,1.593487,12890,12890,France,Direct,Exact age,Unknown. Likely no.,Painting,Yes
"Chauvet-Pont-d'Arc Cave, France",44.387244,4.415865,32410,30340,France,Direct,Exact age,Unknown.,Painting,Yes
"Chifubwa Stream Shelter, Zambia",-12.2,26.683333,6300,6300,Zambia,Indirect,Minimum age,No,Engraving,No
"Coliboaia Cave, Romania",46.53089,22.597332,32000,32000,Romania,Direct,Exact age,Unknown,Drawings,Yes
"Cosquer cave, Calanque de Morgiou, France",43.210931,5.445896,28370,17800,France,Direct,Exact Age,No,Painting,Yes
"Coto dos Muros, Baixo Mino, Northwest Iberia",41.999517,-8.770147,6340,4020,Spain,Direct,Maximum Age,Yes,Painting,N/A
"Covaciella, Spain",43.318232,-4.875262,17113,16881,Spain,Yes,Exact age,Yes,Painting,Yes
"Deighton Lady, Jowalbinna, Queensland Australia",-15.5333,144.7833,6483,2905,Australia,Indirect,Minimum age,Yes,Engraving,No
"Djarrng, West Arnhem Land, Northern Territory, Australia",-12.091834,132.890495,720,119,Australia,Direct,Exact age,Yes,Beeswax,Yes
"Djulirri, Arnhem Land, Northerm Territory, Australia",-12.091834,132.890495,383,172,Australia,Direct,Exact age,Yes,Beeswax,"Yes
"
"East Alligator River, Northern Territory, Australia",-12.525429,133.060161,4287,122,Australia,Direct,Exact age,Yes,Beeswax,No
"Echidna's Rest, Queensland, Australia",-27.542345,153.07315,1291,0,Australia,Direct,Exact age,Yes,Drawings and engraving,No
"El Hosh, Egypt (6km north of Gebel Silsila)",24.642614,32.92968,7550,2325,Egypt,Direct,Exact Age,Yes,Petroglyphs,Yes 
"Emu Cave, New South Wales, Australia",-33.782342,150.590426,1857,1857,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Fariseu, Coa Valley, Portugal",41.079991,-7.111782,18400,10800,Portugal,Indirect,Minimum age,No,Petroglyphs,Yes 
"Fetra He Cave, Lifou Island, New Caledonia",-21.038497,167.240515,2570,983,New Caledonia,Direct,Exact age,Yes,Hand stencils,Some 
"Forno dos muros, portugal",40.224238,-8.636221,5840,5505,Portugal,Direct,Exact age,Yes,Painting,N/A
"Foz Coa, Portugal",41.082247,-7.14036,2000,100,Portugal,Indirect,Minimum age,No,Petroglyphs,Yes
"Fuente de el Salin, Muñorrodero Spain",43.364429,-4.482981,22340,22340,Spain,Indirect,Minimum age,Unknown,Painting,N/A
"Gargas, France",43.90322,5.357388,26860,26860,France,Indirect,Minimum age,Unknown,"Hand stencils, engravings",Yes
"Giant Horse, Laura, Queensland, Australia",-15.5384,144.4566,474,474,Australia,Direct,Exact age,Yes,Painting,-
"Glen Canyon, South-central Utah, USA",37.386989,-110.842823,1080,675,USA,Indirect,N/A,Unknown,Painting,Yes
"Grande Grotte, Arcy-sur-Cure, France",47.591452,3.766392,45503,29172,France,Indirect,N/A,Yes,Painting,N/A
"Grotta di Fumane, Italy",45.592481,10.90443,41000,41000,Italy,Indirect,Exact Age,Yes,Painting,Yes
"Grotte d’Aldene, Cesseras, France",43.353897,2.698387,30260,30260,France,Indirect,N/A,Unknown,Engravings,N/A
"Grotte de Cussac, Dordogne River Valley, France",44.829444,0.847778,29209,3426,France,Indirect,Mixed,Unknown,Painting,Yes
"Gunbilngmurrung, Australia",-12.8,133.3,3870,140,Australia,Direct,Exact Age,Yes,Beeswax,Yes 
"Hathitol, India",23.152243,79.920672,4810,2780,India,Direct,Exact Age,Unknown,Painting,Yes
"Hay Cave, Queensland, Australia",-23.167328,150.490387°,2420,1010,Australia,Direct,Exact age,No,Painting,No
"Ignatievskaya Cave, Russia",54.899497,57.781586,8790,6925,Russia,Direct,Exact Age,Unknown,Painting,Yes
"Ingaladdi, willeroo, Northern Territory, Australia",-15.29028,131.575195,7676,7676,Australia,Indirect,Minimum age,Yes,Engraving,N/A
"Jamjori, India",24.515475,87.081156,1720,1720,India,Direct,Exact Age,Unknown,Painting,No
"Jinsha, China ",26.855047,100.22775,5216,5216,China,Indirect,Maximum Age,N/A,Painting,Yes
"Kaalpi site, Western Australia (Near Calvert Ranges)",-23.95,122.72,377,308,Australia,Direct,Exact age,Yes,Painting,N/A
"Kaho'olawe, Hawai'i, USA",20.558047,-156.605738,923,0,Hawaii,Indirect,Minimum age,Yes,Painting,Yes
"Kapova cave, Russia",53.043799,57.065139,14680,13930,Russia,Indirect,Unknown,Unknown,Painting,Yes
"Kennedy River, Queensland, Australia",-15.5906,144.0308,1132,1132,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Kimberley, Australia",-17.34918,125.915207,4300,1350,Australia,Direct,Exact age,Yes,Painting,Yes
"La Garma, Cantabria, Spain",43.151944,-3.896389,16875,16875,Spain,Direct,Exact age,Yes,Paintings,Yes
"La Pileta, Spain",36.691297,-5.2699,24228,24228,Spain,Direct,Exact age,Yes,Paintings,Yes
"La Tete du lion, France",45.777403,4.855214,26760,25996,France,Indirect,Minimum age,Yes,Paintings,N/A
"Labastide, France",43.035546,0.352267,17476,484,France,Direct,Exact age,Yes,Paintings,Yes
"Lapa do Santo, Brazil",-19.477778,-44.038889,10600,10600,Brazil,Yes,Exact age,Yes,Petroglyph,Yes
